Field=#~Integer~#~50|Field=Fitted~String~Fitted~100|Field=Designator~String~Designator~100|Field=Quantity~Integer~Quantity~100|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=LibRef~String~LibRef~100|Field=FootprintBOM~String~FootprintBOM~100|Field=Manufacturer~String~Manufacturer~100|Field=Distributor~String~Distributor~100|Field=Reference~String~Reference~100|Field=PartNoKomax~String~PartNoKomax~100|Field=Notes~String~Notes~100|Field=2ndSourcesReleased~String~2ndSourcesReleased~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~D00173332_IP3734.PRJPCB|ReportField=ProjectFullPath~D:\work\IP3734\PCB_SVN_i001\D00173332_IP3734.PRJPCB|ReportField=Title~Bill of Materials For Variant [0384261] of Project [D00173332_IP3734.PRJPCB] (No PCB Document Selected)|ReportField=ReportTime~14:43:54|ReportField=ReportDate~07.03.2019|ReportField=ReportDateTime~07.03.2019 14:43:54|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~0384261|ReportField=TotalQuantity~89|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=KPP_Assembly_DocNr~D00173333|ReportField=KPP_Assembly_Variant_DocNr~Dyyyyyyyy|ReportField=KPP_Idx~i002|ReportField=KPP_Pcb_DocNr~D00173334|ReportField=KPP_Pcb_Idx~i002|ReportField=KPP_Proj_Name~IP3734|ReportField=KPP_Proj_Sch_Bom_DocNr~D00173332|ReportField=KPP_Proj_Vorlage~0006 (do not edit)|ReportField=KSP_OutputFolder_AltiumProject~AltiumProject|ReportField=KSP_OutputFolder_Assembly~AssemblyData|ReportField=KSP_OutputFolder_Assembly_Variant~AssemblyDataVariant|ReportField=KSP_OutputFolder_PCB~PCBData|ReportField=Address1~-|ReportField=Address2~-|ReportField=Address3~-|ReportField=Address4~-|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~-|ReportField=Author~-|ReportField=CheckedBy~-|ReportField=CompanyName~-|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~07.03.2019|ReportField=CurrentTime~13:44:44|ReportField=Date~-|ReportField=DocumentFullPathAndName~D:\work\IP3734\PCB_SVN_i001\Documents\01_D00173332_TopSheet.SchDoc|ReportField=DocumentName~01_D00173332_TopSheet.SchDoc|ReportField=DocumentNumber~-|ReportField=DrawnBy~-|ReportField=Engineer~-|ReportField=ImagePath~-|ReportField=IsUserConfigurable~|ReportField=KSDP_CreatedBy~Patrick Rossacher|ReportField=KSDP_CreationDate~06.12.2017|ReportField=KSDP_ModificationDate~-|ReportField=KSDP_ModifiedBy~-|ReportField=KSDP_ObjectName~TopSheet|ReportField=ModifiedDate~05.03.2019|ReportField=Organization~Komax AG|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=0.97:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-4:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=A4:PaperIndex=9|ReportField=ProjectName~D00173332_IP3734.PRJPCB|ReportField=Revision~-|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~8|ReportField=Time~-|ReportField=Title~-|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~D00173332_IP3734.PRJPCB|ReportField=DataSourceFullPath~D:\work\IP3734\PCB_SVN_i001\D00173332_IP3734.PRJPCB|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
36|Fitted|X1|1|640445-4|MTA-156 Plug Connector 180° 4P 3.96mm|CON_4P|||||||
37|Fitted|X6|1|154765|Connector SMC 2x25p 90° 1.27mm|CON_50P_ERNI|SMD RM=1.27mm|ERNI|||||
38|Fitted|X7, X8|2|MOLEX-39-28-1043|Connector Mini Fit 4p 180°|CON_4P|THT|Molex|||||
39|Not Fitted|C406, C417|0|470nF|Ceramic Capacitor >=25V|CAP|0603||||||
40|Not Fitted|C500, C501, C503, C504, C513, C514|0|100p|Ceramic Capacitor >=50V X7R|CAP|0402||||||
41|Not Fitted|C502, C515, C612, C613, C614|0|100n|Ceramic Capacitor >=50V X7R|CAP|0402||||||
42|Not Fitted|C505, C506, C507, C508, C509, C510, C511, C512, C600, C601, C602, C604, C605, C606, C609, C610, C611|0|1n|Ceramic Capacitor >=50V X7R|CAP|0402||||||
43|Not Fitted|C603, C607, C608|0|220n|Ceramic Capacitor >=50V X7R|CAP|0603||||||
44|Not Fitted|D600, D602, D604|0|HSMG-C190|SMD LED green|LED||AVAGO|||||
45|Not Fitted|D601, D603, D605|0|BZX384-C3V0|Zener Diode 3V|DIODEZENER|SOD-323|NXP|||||
46|Not Fitted|F300|0|1210L075/24PR|Polyfuse 750mA|THERMAL FUSE_1|1210|Littlefuse|||||
47|Not Fitted|L500|0|CIS21J121NE|Power Supression Bead 120Ohm bei 100MHz 5A|INDUCTOR1|0805|Samsung|||||
48|Not Fitted|R200, R201, R700|0|0R|Resistor 0.063W 1%|RES2|0402||||||
49|Not Fitted|R500, R503, R507, R510, R511, R514|0|3k3|Resistor 0.063W 1%|RES2|0402||||||
50|Not Fitted|R501, R502, R508, R509, R512, R513|0|120R|Resistor 0.1W 1%|RES2|0603||||||
51|Not Fitted|R504, R505, R506|0|1k5|Resistor 0.063W 1%|RES2|0402||||||
52|Not Fitted|R600, R602, R603, R605, R607, R608, R610, R612, R613|0|820R|Resistor 0.063W 1%|RES2|0402||||||
53|Not Fitted|R601, R606, R611|0|3k9|Resistor 0.25W 1%|RES2|1206||||||
54|Not Fitted|R604, R609, R614|0|2k4|Resistor 0.063W 1%|RES2|0402||||||
55|Not Fitted|U500|0|AM26LV32I|3.3V 4fach RS422 Receiver +-15kV ESD-Protected|MAX3096CSE|SOIC-16|TI|||||ISL32173EFBZ
56|Not Fitted|U600, U601, U602|0|NC7WZ14P6X||NC7WZ14P6X|TSSOP-14|ON-Semi|||||
57|Not Fitted|X2|0|76385-304LF|Header 2x4p 180° RM=2.54mm|CON8|THT|FCI Framatone|||||
58|Not Fitted|X3, X4, X5|0|0-0640456-3|MTA-100 Plug Connector 180° 3p 2.54mm|CON3|THT RM=2.54mm|AMP/TYCO|||||
